Date,Open,High,Low,Close,Volume
10/04/2024,"227.90","228.00","224.13","226.80","37,345,102"
10/03/2024,"225.14","226.81","223.32","225.67","34,044,160"
10/02/2024,"225.89","227.37","223.02","226.78","32,880,609"
10/01/2024,"229.52","229.65","223.74","226.21","63,285,047"
09/30/2024,"230.04","233.00","229.65","233.00","54,793,391"
09/27/2024,"228.46","229.52","227.30","227.79","34,025,969"
09/26/2024,"227.30","228.50","225.41","227.52","36,636,711"
09/25/2024,"224.93","227.29","224.02","226.37","42,308,719"
09/24/2024,"228.65","229.35","225.73","227.37","43,556,070"
09/23/2024,"227.34","229.45","225.81","226.47","54,146,020"
09/20/2024,"229.97","233.09","227.62","228.20","318,679,906"
09/19/2024,"224.99","229.82","224.63","228.87","66,781,320"
09/18/2024,"217.55","222.71","217.54","220.69","59,894,930"
09/17/2024,"215.75","216.90","214.50","216.79","45,519,340"
09/16/2024,"216.54","217.22","213.92","216.32","59,357,434"
09/13/2024,"223.58","224.04","221.91","222.50","36,766,621"
09/12/2024,"222.50","223.55","219.82","222.77","37,498,230"
09/11/2024,"221.46","223.09","217.89","222.66","44,587,070"
09/10/2024,"218.92","221.48","216.73","220.11","51,591,031"
09/09/2024,"220.82","221.27","216.71","220.91","67,179,969"
09/06/2024,"223.95","225.24","219.77","220.82","48,423,008"
09/05/2024,"221.63","225.48","221.52","222.38","36,615,398"
09/04/2024,"221.66","221.78","217.48","220.85","43,840,199"
09/03/2024,"228.55","229.00","221.17","222.77","50,087,200"
08/30/2024,"230.19","230.40","227.48","229.00","52,990,770"
08/29/2024,"230.10","232.92","228.88","229.79","51,906,301"
08/28/2024,"227.92","229.86","225.68","226.49","38,052,168"
08/27/2024,"226.00","228.85","224.89","228.03","35,934,559"
08/26/2024,"226.76","227.28","223.89","227.18","30,602,211"
08/23/2024,"225.66","228.22","224.33","226.84","38,677,246"
08/22/2024,"227.79","228.34","223.90","224.53","43,695,320"
08/21/2024,"226.52","227.98","225.05","226.40","34,765,480"
08/20/2024,"225.77","227.17","225.45","226.51","30,299,029"
08/19/2024,"225.72","225.99","223.04","225.89","40,687,809"
08/16/2024,"223.92","226.83","223.65","226.05","44,340,238"
08/15/2024,"224.60","225.35","222.76","224.72","46,414,008"
08/14/2024,"220.57","223.03","219.70","221.72","41,960,566"
08/13/2024,"219.01","221.89","219.01","221.27","44,155,328"
08/12/2024,"216.07","219.51","215.60","217.53","38,028,090"
08/09/2024,"212.10","216.78","211.97","216.24","42,201,648"
08/08/2024,"213.11","214.20","208.83","213.31","47,161,152"
08/07/2024,"206.90","213.64","206.39","209.82","63,516,422"
08/06/2024,"205.30","209.99","201.07","207.23","69,660,484"
08/05/2024,"199.09","213.50","196.00","209.27","119,548,602"
08/02/2024,"219.15","225.60","217.71","219.86","105,568,602"
08/01/2024,"224.37","224.48","217.02","218.36","62,501,000"
07/31/2024,"221.44","223.82","220.63","222.08","50,036,262"
07/30/2024,"219.19","220.33","216.12","218.80","41,643,840"
07/29/2024,"216.96","219.30","215.75","218.24","36,311,781"
07/26/2024,"218.70","219.49","216.01","217.96","41,601,352"
07/25/2024,"218.93","220.85","214.62","217.49","51,391,199"
07/24/2024,"224.00","224.80","217.13","218.54","61,777,578"
07/23/2024,"224.37","226.94","222.68","225.01","39,960,262"
07/22/2024,"227.01","227.78","223.09","223.96","48,201,840"
07/19/2024,"224.82","226.80","223.28","224.31","49,151,449"
07/18/2024,"230.28","230.44","222.27","224.18","66,034,594"
07/17/2024,"229.45","231.46","226.64","228.88","57,345,879"
07/16/2024,"235.00","236.27","232.33","234.82","43,234,281"
07/15/2024,"236.48","237.23","233.09","234.40","62,631,246"
07/12/2024,"228.92","232.64","228.68","230.54","53,046,527"
07/11/2024,"231.39","232.39","225.77","227.57","64,710,621"
07/10/2024,"229.30","233.08","229.25","232.98","62,627,688"
07/09/2024,"227.93","229.40","226.37","228.68","48,169,820"
07/08/2024,"227.09","227.85","223.25","227.82","59,085,859"
07/05/2024,"221.65","226.45","221.65","226.34","60,412,406"
07/03/2024,"220.00","221.55","219.03","221.55","37,369,801"
07/02/2024,"216.15","220.38","215.10","220.27","58,046,180"
07/01/2024,"212.09","217.51","211.92","216.75","60,402,930"
06/28/2024,"215.77","216.07","210.30","210.62","82,542,719"
06/27/2024,"214.69","215.74","212.35","214.10","49,772,711"
